dBm : décibel-milliwatt
dBµV : décibel microvolt
dBW : décibel-watt
Hz : hertz
kHz : kilohertz
MHz : mégahertz
GHz : gigahertz
THz : térahertz
V : volt
mV : millivolt 
µV : microvolt
kV : kilovolt
A : ampère
mA : milliampère
µA : microampère
kA : kiloampère
W : watt
mW : milliwatt
kW : kilowatt
MW : mégawatt
GW : gigawatt
TW : térawatt
VA : volt-ampère
kVA : kilovolt-ampère
MVA : mégavolt-ampère
dB : décibel
dBc : décibel par rapport à la porteuse
dBi : décibel isotropique
dBd : décibel par rapport à un dipôle
dBrn : décibel par rapport au bruit de référence
dBc/Hz : décibel par hertz
dBm/Hz : décibel-milliwatt par hertz
Vrms : volt efficace
Vpp : volt crête à crête
AM : modulation d'amplitude
FM : modulation de fréquence
dBFS : decibel par rapport à la pleine échelle dB
dBmV : décibel-millivolt
dBµV/m : décibel microvolt par mètre
dBµV/Hz : décibel microvolt par hertz
